date,cases,deaths,cum_cases,cum_deaths,mortality
6/13/2021,13971,403,33103599,596458,0.028845466
6/14/2021,12350,208,33115949,596666,0.016842105
6/15/2021,8721,152,33124670,596818,0.017429194
6/16/2021,8275,199,33132945,597017,0.024048338
6/17/2021,12616,316,33145561,597333,0.025047559
6/18/2021,13220,336,33158781,597669,0.025416036
6/19/2021,13484,279,33172265,597948,0.02069119
6/20/2021,11961,272,33184226,598220,0.022740574
6/21/2021,12350,251,33196576,598471,0.020323887
6/22/2021,9047,223,33205623,598694,0.024649055
6/23/2021,8568,266,33214191,598960,0.031045752
6/24/2021,13288,308,33227479,599268,0.023178808
6/25/2021,13841,326,33241320,599594,0.023553211
6/26/2021,15572,315,33256892,599909,0.020228615
6/27/2021,14971,412,33271863,600321,0.027519872
6/28/2021,13294,242,33285157,600563,0.018203701
6/29/2021,10676,173,33295833,600736,0.016204571
6/30/2021,10438,183,33306271,600919,0.017532094
7/1/2021,15514,282,33321785,601201,0.01817713
7/2/2021,11639,244,33333424,601445,0.020964
7/3/2021,18586,289,33352010,601734,0.015549338
7/4/2021,16890,304,33368900,602038,0.017998816
7/5/2021,13189,152,33382089,602190,0.011524755
7/6/2021,10459,125,33392548,602315,0.011951429
7/7/2021,9147,103,33401695,602418,0.011260523
7/8/2021,19962,301,33421657,602719,0.015078649
7/9/2021,22636,250,33444293,602969,0.011044354
7/10/2021,183538,262,33627831,603231,0.001427497
7/11/2021,27579,316,33655410,603547,0.011457993
7/12/2021,20875,149,33676285,603696,0.007137725
7/13/2021,16722,119,33693007,603815,0.007116374
7/14/2021,28892,295,33721899,604110,0.010210439
7/15/2021,34978,337,33756877,604447,0.009634627
7/16/2021,38299,342,33795176,604789,0.008929737
7/17/2021,40555,319,33835731,605108,0.007865861
7/18/2021,42258,370,33877989,605478,0.008755739
7/19/2021,32139,183,33910128,605661,0.005694017
7/20/2021,27993,146,33938121,605807,0.00521559
7/21/2021,45195,284,33983316,606091,0.006283881
7/22/2021,51040,320,34034356,606411,0.006269592
7/23/2021,61313,399,34095669,606810,0.006507592
7/24/2021,71708,338,34167377,607148,0.004713561
